CO_UNIDADE;CO_END_COMPL;NO_IDENTIFICACAO;TP_LOGR;NO_LOGRADOURO;NU_ENDERECO;NO_COMPLEMENTO;NO_BAIRRO;CO_CEP;CO_MUNICIPIO;NO_DDD_TEL;NU_TELEFONE;NO_EMAIL;CO_USUARIO
1301960000000;1;UNIDADE DE APOIO 1;713;DEJEDA;SN;;ZONA RURAL;69510000;130195;;;;CNES1
1301960000000;2;UNIDADE DE APOIO 2;713;MONTE CALEBE;SN;;ZONA RURAL;69510000;130195;;;;CNES1
1301960000000;3;UNIDADE DE APOIO 3;713;BOA VISTA;SN;;ZONA RURAL;69510000;130195;;;;CNES1
1301960000000;4;UNIDADE DE APOIO 4;713;BOCA DO CHERUAN;SN;;ZONA RURAL;69510000;130195;;;;CNES1
4102410000000;1;NÚCLEO DE EQUOTERAPIA DR RAUL HIDETOCI  MIOSHI;655;BR 369 - KM 54;SN;;VILA MARIA;86360000;410240;43;35428005;;VICTOR HUGO
2101610000000;1;PS SAO GONCALO;81;RUA PRINCIPAL;SN;;POVOADO SAO GONCALO;65950000;210160;;;;BARRA
5107920000000;2;REDE DE FRIO - IMUNIZACAO;8;BRASIL;854;ANEXO AREA DESCOBERT;CENTRO;78890188;510792;66;35449907;;LUCIO
3139000000000;4;POSTO DE SAUDE DA BANDEIRINHA;92;ZONA RURAL;SN;CNES 7064543;BANDEIRINHA;37750000;313900;;;;FATURA
3139000000000;5;PONTO DE APOIO NA FAZENDA SANTA RITA;37;SANTA RITA;SN;CNES 7064551;CAIANA;37750000;313900;;;;FATURA
3139000000000;6;POSTO DE SAUDE DA CONCEICAO;92;ZONA RURAL;SN;CNES 7066317;CONCEICAO;37750000;313900;;;;FATURA
2206000000000;1;PS BAIXA DO REGO;95;LOCALIDADE BAIXA DO REGO;S/N;;ZONA RURAL;64845000;220600;;;;SCNES
3541800000000;1;CS DE QUEIROZ;8;RANGEL PESTANA;20;;CENTRO;17590000;354180;14;997386373;;SCNES
5105100000000;6;PONTO DE APOIO BANCO DA TERRA;31;BANCO DA TERRA;0;;ZONA RURAL;78575000;510510;66;35563874;;SCNES
3522300000000;1;P.A.S. FAXINAL DO RIO ACIMA;81;BAIRRO RIO ACIMA;SN;;RIO ACIMA;18215899;352230;;;;FABIO
3522300000000;2;P.A.S. JOÃO MANOEL VIEIRA - RIO ACIMA;81;RUA BAIRRO RIO ACIMA;SN;;RIO ACIMA;18215899;352230;;;;FABIO
3522300000000;3;P.A.S. PASSA TRÊS;81;BAIRRO PASSA TRES;SN;;BAIRRO PASSA TRES;18215899;352230;;;;FABIO
4115800000000;1;EQUIPE MULTIDISCIPLINAR;561;PARAGUAI;2240;;CIDADE ALTA;85884000;411580;45;32648676;;NISIII
2927400000000;2;GRUPO DE APOIO A CRIANCA COM CANCER;8;OCEANO PACIFICO;74;;SAO RAFAEL;41254470;292740;71;33992006;cdg@cdg.org.br;CNESSUS
2802910000000;1;ENDERECO COMPLEMENTAR 1;516;UYU;1;;CENTRO;49500000;280290;;;;THIAGO
3303500000000;1;MARIANA BULHÕES;8;GOVERNADOR ROBERTO DA SILVEIRA;2012;;POSSE;26020740;330350;21;31020546;HGNI@HGNI.SAUDE.GOV.BR;MESTRE
3106200000000;3;ENDERECO COMPLEMENTAR 3;561;TUPIS;1578;;BARRO PRETO;31110140;310620;31;33303162;;SMSAS
1100020000000;1;ENDERECO COMPLEMENTAR 1;561;ALAGOAS;4366;;REDONDO;76954000;110001;69;36412973;edimarkbca@ig.com.br;EDIMAR
3529300000000;1;ENDERECO COMPLEMENTAR 1;561;ODILON AUGUSTO;909;;SENHOR BOM JESUS;15995220;352930;16;33826770;psfmatao@matao.sp.gov.br;VILMA
3529300000000;1;ENDERECO COMPLEMENTAR 1;561;DOLVALINO AGOSTINI;849;;JARDIM POPULAR;15997174;352930;16;33849965;psfmatao@matao.sp.gov.br;VILMA
3531910000000;1;ENDERECO COMPLEMENTAR 1;561;SEBASTIAO A. MUNIZ;123;;CENTRO;14640000;353190;16;38512767;;VISAN
4217710000000;1;ENDERECO COMPLEMENTAR 1;561;SANTO ANTONIO;188;;CENTRO;88960000;421770;48;35331441;ronaldourdangarin@hotmail.com;SOMBRIO
3162950000000;1;ENDERECO COMPLEMENTAR 1;81;CAMPO BELO;172;CASA;FURNAS;37945000;316294;35;35235375;;FCES
3556710000000;1;ENDERECO COMPLEMENTAR 1;81;MONTEIRO DE BARROS;520;;CENTRO;13280000;355670;19;38267499;;SAUDE
2307310000000;1;ENDERECO COMPLEMENTAR 1;81;PADRE CICERO;739;SALA 01;CENTRO;63010020;230730;88;35119999;;ALANA
3163010000000;1;ENDERECO COMPLEMENTAR 1;81;SENHORA APARECIDA;43;A;CENTRO;39785000;316300;;;;ADELSON
4207500000000;1;ENDERECO COMPLEMENTAR 1;561;SAO FRANCISCO;250;;CENTRO;89130000;420750;47;33339313;;SCNES
4208610000000;1;ENDERECO COMPLEMENTAR 1;81;CARLOS GOMES;250;PREDIO;CENTRO;89677000;420860;49;35262021;saude.jabora@hotmail.com;VERASAUDE
4320410000000;2;ENDERECO COMPLEMENTAR 2;516;FDGR;2142;;GRET;99250000;432040;;;;GESTOR
3546310000000;2;ENDERECO COMPLEMENTAR 2;561;TREZE DE MAIO;629;;CENTRO;13650000;354630;19;36729214;visa@scpalmeiras.sp.gov.br;VIVIANER
2700700000000;1;ENDERECO COMPLEMENTAR 1;561;VALDOMIRO MADEIRO;S/N;;CENTRO;57420000;270070;;;;SAUDE
5002700000000;1;ENDERECO COMPLEMENTAR 1;8;AFONSO PENA;3547;;CENTRO;79002072;500270;67;33227114;;HEIDY
2913610000000;2;UNIDADE DE AUTORIZACAO DE TFD INTERMUNICIPAL;8;ACM;209;;MALHADO;45651620;291360;73;32342009;regulacaoilheus.diretoria@gmail.com;THAIANE
1502410000000;1;ENDERECO COMPLEMENTAR 1;8;BARAO DO RIO BRANCO;2515;;CENTRO;68743050;150240;91;81565833;;FCESS
3549800000000;1;ENDERECO COMPLEMENTAR 1;81;MARTINHO GONCALVES;2340;;VILA NOSSA SENHORA;15025160;354980;17;32345057;;FERNANDA
4206710000000;1;ENDERECO COMPLEMENTAR 1;561;SANTOS DUMONT;936;;CENTRO;89610000;420670;;35545133;;LENISABEI
3106210000000;1;ENDERECO COMPLEMENTAR 1;81;POUSO ALEGRE;2111;5 ANDAR;HORTO;30130007;310620;31;34631590;;RENATA
2905710000000;1;ENDERECO COMPLEMENTAR 1;561;ADELINA DE SA SALA DOIS;S/N;PRIMEIRO ANDAR;CENTRO;42800060;290570;71;36214313;;290570
3531910000000;1;ENDERECO COMPLEMENTAR 1;561;ESTADOS UNIDOS;215;;PARQUE DOM PEDRO;14640000;353190;16;38515458;;VISAN
4106900000000;1;ENDERECO COMPLEMENTAR 1;561;IMACULADA CONCEICAO;1155;BLOCO 4 - 2º ANDAR;PRADO VELHO;80215901;410690;41;32711741;diretoria.huc@pucpr.br;DRACHADEL
3517410000000;1;ENDERECO COMPLEMENTAR 1;81;18;905;;CENTRO;14790000;351740;17;33311892;;ANDRIELE
1713210000000;1;ENDERECO COMPLEMENTAR 1;100;JOSE NOLASCO;475;;CENTRO;77650000;171320;63;33661241;;FCES
4106900000000;1;ENDERECO COMPLEMENTAR 1;562;PASTEUR;26;;BATEL;80250080;410690;41;35230081;;DRACHADEL
3531900000000;1;ENDERECO COMPLEMENTAR 1;561;MARIA LIPORINE MEIRELES;766;;CENTRO;14640000;353190;16;38511196;;VISAN
5200140000000;1;ENDERECO COMPLEMENTAR 1;561;28;S/N;QD. 80A LT 10;CONJUNTO PAINEIRAS;75960000;520013;64;36453136;vpz_pasquali@hotmail.com;SAUDE
3537610000000;1;ENDERECO COMPLEMENTAR 1;81;JOAO OSORIO DO PRADO;81;;CENTRO;11750000;353760;13;34532049;saude.peruibe@gmail.com;ALINEMARIA
2110040000000;1;ENDERECO COMPLEMENTAR 1;81;RUA DO SESP;S/N;;CENTRO;65272000;211003;;;;SMS
4211110000000;1;ENDERECO COMPLEMENTAR 1;81;JOVINO EMIDIO;SN;;CENTRO;89380000;421110;47;36540224;smsmc@bol.com.br;OPERADOR
5200210000000;1;ENDERECO COMPLEMENTAR 1;81;JOSE CANDIDO GUIMARAES;S/N;;CENTRO;75665000;520020;64;34891135;elvesgandara@hotmail.com;ALEPH
3306010000000;1;ENDERECO COMPLEMENTAR 1;81;ANTONIO FERNANDES DE OLIVEIRA;411;;CENTRO;25803080;330600;;;;CNES
3525300000000;3;ENDERECO COMPLEMENTAR 3;8;DAS NACOES;855;PISO 1;CENTRO;17201300;352530;14;36216454;VIGEP@JAU.SP.GOV.BR;BRUNO
4205400000000;3;ENDERECO COMPLEMENTAR 3;81;ESTEVES JUNIOR;390;;CENTRO;88015130;420540;48;32121600;;TIAGO SES
5008310000000;2;ENDERECO COMPLEMENTAR 2;552;JOAO CARRATO;53;FUNDOS;CENTRO;79601003;500830;67;39291792;saude@treslagoas.ms.gov.br;SAUDE
3104310000000;1;ENDERECO COMPLEMENTAR 1;81;ADELINO BORNELLI;741;;CENTRO;37140000;310430;35;32931616;saudeareado@gmail.com;AREADO
2301100000000;2;ENDERECO COMPLEMENTAR 2;561;DRAGAO DO MAR;819;;VARZEA DA MATRIZ;62800000;230110;88;34333922;;EDVALDO
2928600000000;1;ENDERECO COMPLEMENTAR 1;81;CONSELHEIRO PARANHOS;31;A;CENTRO;44200000;292860;75;32411118;;ADMIN
3506360000000;2;ENDERECO COMPLEMENTAR 2;65;VICENTE MOLINARI;246;;VILA ITAPANHAU;11250000;350635;;;;CAROL
2412210000000;1;ENDERECO COMPLEMENTAR 1;81;26 DE JULHO;8;;CENTRO;59162000;241220;84;32733359;smssaojosedemipibu@rn.gov.br;241220
3528510000000;2;ENDERECO COMPLEMENTAR 2;81;ALZIRA FERREIRA CAMPOS;480;TERREO;JD FERNAO DIAS;7600000;352850;11;44192300;;PATRICIA
3543410000000;2;ENDERECO COMPLEMENTAR 2;81;ADALBERTO PAJUABA;148;;SUMAREZINHO;14055220;354340;16;36307844;;MARCIO
3543410000000;4;ENDERECO COMPLEMENTAR 4;81;SANTOS DUMONT;335;;VILA TIBERIO;14050060;354340;16;36363280;;MARCIO
2704510000000;1;ENDERECO COMPLEMENTAR 1;561;LUIS HOLANDA;80;;CENTRO;57955000;270450;;;maragogi@saude.al.gov.br;SAUDE
2905710000000;2;ENDERECO COMPLEMENTAR 2;561;OITO DE DEZEMBRO;43;SALA 01 TERREO;CENTRO;42800105;290570;71;34540153;divisasesau@gmail.com;290570
3303400000000;1;ENDERECO COMPLEMENTAR 1;81;AUGUSTO CARDOSO;62;;CENTRO;28610050;330340;22;25241727;fmsnf.visa@gigalink.com.br;TALEXANDRE
5003810000000;1;ENDERECO COMPLEMENTAR 1;655;NOVE DE JULHO;2259;SEGUNDO ANDAR;PROLONGAMENTO;79700000;500380;67;34672710;saudefsul@yahoo.com.br;NEIDE VIEIRA
5106260000000;1;ENDERECO COMPLEMENTAR 1;655;LEONARDO VILAS BOAS;415;HOSPITAL;JARDIM ALVORADA;78690000;510625;66;34382462;smsnx@hotmail.com;GESTOR
2913600000000;1;ENDERECO COMPLEMENTAR 1;81;RUA SULAMERICO;S/N;;BANCO DO PEDRO;45667000;291360;73;36896032;;THAIANE
3126010000000;1;ENDERECO COMPLEMENTAR 1;561;PARA DE MINAS;368;;NOSSA SENHORA APAREC;35690000;312600;;;;NAIANE
3552410000000;2;ENDERECO COMPLEMENTAR 2;81;ANGELO ONGARO;57;;CENTRO;13170024;355240;19;38734838;;FERNANDA
3130700000000;1;ENDERECO COMPLEMENTAR 1;81;GETUIO VARGAS;400;;CENTRO;38490000;313070;;;;VANESSA
2409110000000;1;ENDERECO COMPLEMENTAR 1;655;CELSO LISBOA;SN;;CENTRO;59218000;240910;84;32882099;smspassaefica@rn.gov.br;SCNES
1506210000000;1;ENDERECO COMPLEMENTAR 1;8;SENADOR LEMOS;SN;;CENTRO;68721000;150620;;;;MANOEL
2701400000000;1;ENDERECO COMPLEMENTAR 1;81;DORGIVAL GONCALVES;S/N;;LUZIAPOLIS;57250000;270140;;;;SAUDE
3506410000000;1;ENDERECO COMPLEMENTAR 1;561;EUCLIDES DA CUNHA;633;;CENTRO;16210000;350640;18;36591474;;RODRIGO
4215810000000;1;ENDERECO COMPLEMENTAR 1;561;JOSE FENDRICH;145;;CENTRO;89290000;421580;47;36352228;dcaa@saobentodosul.sc.gov.br;421580
4215810000000;3;ENDERECO COMPLEMENTAR 3;561;FELIPE SCHMIDT;83;;CENTRO;89280178;421580;47;36337462;dcaa@saobentodosul.sc.gov.br;421580
2927800000000;1;ENDERECO COMPLEMENTAR 1;561;GETULIO VARGAS;247;;CENTRO;45725000;292780;;;;AFERREIRA
3302200000000;1;ENDERECO COMPLEMENTAR 1;81;FIRMINO BASTOS;21;DISTRITO;COMENDADOR VENANCIO;28300000;330220;;;;SCNES
5219210000000;1;ENDERECO COMPLEMENTAR 1;81;ZAINA ABDALA;SN;;CENTRO;75220000;521920;64;34721323;sms.santacruz@gmail.com;SCHINEIDER
4113700000000;1;ENDERECO COMPLEMENTAR 1;4;MANOEL RIBAS;1;;CENTRO;86010140;411370;43;33796100;;RUDNEY
4208310000000;1;ENDEREÇO COMPLEMETAR 1;81;RUA 119 A;130;3 PISO LADO DIREITO;CENTRO;88220000;420830;47;32671529;;SAUDE
3170210000000;2;ENDERECO COMPLEMENTAR 2;81;AVENIDA BENJAMIM MAGALHAES;859;;TIBERY;38405040;317020;34;32574058;;VAGNER
5101010000000;1;ENDERECO COMPLEMENTAR 1;561;MANOEL INACIO;34;CASA;CENTRO;78685000;510100;66;34991350;;ADMIN
2605500000000;1;ENDERECO COMPLEMENTAR 1;561;SAO VICENTE DE PAULA;S/N;PREDIO;CENTRO;55880000;260550;81;92828779;;MESTRE
4303900000000;1;ENDERECO COMPLEMENTAR 1;8;INDEPENDENCIA;800;;CENTRO;93700000;430390;51;35988600;;ANDREIA
5103400000000;1;ENDERECO COMPLEMENTAR 1;81;RUA MAJOR GAMA;754;FARMACIA ALTO CUSTO;CENTRO;78020971;510340;65;36249205;;SCNESMT
4212910000000;1;ENDERECO COMPLEMENTAR 1;81;PARANA;183;POLICLINICA CENTRAL;SANTO ANTONIO;89870000;421290;49;33666640;epidemiologia@pinhalzinho.sc.gov.br;MICHEL
4318100000000;1;ENDERECO COMPLEMENTAR 1;81;JOAO MOREIRA;1598;;CENTRO;97610000;431810;55;32521344;;PABLO
4202910000000;1;ENDERECO COMPLEMENTAR 1;561;FLORIANOPOLIS;1857;;AGUAS CLARAS;88353501;420290;47;33555663;mariaalice@labvw.com.br;DORIAN
4202910000000;3;ENDERECO COMPLEMENTAR 3;561;LUIZ MORELLI;2;;DOM JOAQUIM;88359002;420290;47;33555663;mariaalice@labvw.com.br;DORIAN
2704300000000;1;ENDERECO COMPLEMENTAR 1;546;VILA DOS BANCARIOS;2;;POCO;57025291;270430;;;;BIANCA
4202910000000;1;ENDERECO COMPLEMENTAR 1;561;HUGO SCHLOSSER;10;;JARDIM MALUCHE;88354040;420290;47;33512482;administrativo@apaebrusque.org.br;SILVANA
4202910000000;3;ENDERECO COMPLEMENTAR 3;561;HERCILIO LUZ;109;;CENTRO;88350300;420290;47;33511772;apaebque@terra.com.br;SILVANA
3506110000000;2;ENDERECO COMPLEMENTAR 2;561;ADOLFO PINTO;124;1º ANDAR;CENTRO;14700349;350610;17;33432218;dms.visa@bebedouro.sp.gov.br;KELLY
1502100000000;1;UNIDADE DE APOIO CC NOSSA SENHORA DO CARMO;50;MARTINS - VILA DO CARMO;S N;;ZONA RURAL;68400000;150210;;;;CAMETA
1301150000000;4;ESCOLA ESTADUAL CORONEL FIUZA;713;N. SRA. DO PERPETUO SOCORRO;S/N;;ZONA RURAL;69255000;130115;;;;CNES
1506200000000;1;POLICLINICA LUIZ VALDECY NOBREGA;8;ERICO CASSIANO;S/N;;ATLANTICO II;68721000;150620;91;919;;MANOEL
2101600000000;1;UBS IPIRANGA;81;PRINCIPAL;SN;;POVOADO IPIRANGA;65950000;210160;;;;BARRA
1302600000000;1;UNIDADE DE APOIO NOSSA SENHORA AUXILIADORA;90;COMUNIDADE N SRA AUXILIADORA - TARUMA;1;RIO NEGRO;ZONA RURAL;69048992;130260;;;;ABARBARA
1302600000000;2;UNIDADE DE APOIO FREDERICO VEIGA;90;BR 174, COMUNIDADE FREDERICO VEIGA;S/N;;ZONA RURAL;69048992;130260;;;;ABARBARA
1302600000000;3;UNIDADE DE APOIO TIÚ;720;COMUNIDADE DO TIU, TARUMA ACU;S/N;RIO NEGRO;ZONA RURAL;69001009;130260;;;;ABARBARA
1302600000000;4;UNIDADE DE APOIO JEFERSON PERES;720;COMUNIDADE JEFFERSON PERES, TARUMA ACU;S/N;RIO NEGRO;ZONA RURAL;69099899;130260;;;;ABARBARA
4320680000000;1;SINIMBU;561;FREDERIDO KOPS;0;;CENTRO;96890000;432067;;;;SINARA
3541400000000;2;GRUPO DE VIGILANCIA - GVE XXI - GVS XXI;655;CEL. JOSE SOARES MARCONDES;2357;;VILA EUCLIDES;19013050;354140;18;32266760;gve21-pprudente@saude.sp.gov.br;FCESDIR
2601110000000;1;FILIAL CENTRO HOSPITALAR ESPECIALIZADO DE ARARIPINA LTDA;561;VEREADOR JOSE BARRETO DE ALENCAR;450;;CENTOR;56280000;260110;;;;DIOGO
3304100000000;1;CENTRO DE ATENDIMENTO COVID-19;81;SCHUWARTZ VIEIRA;154;;CENTRO;28390000;330410;22;38421172;;BERNARDO
3517300000000;1;CENTRO DE COVID DE GUAIMBE;81;FERNANDO MARTINS PAREDES;111;;CENTRO;16480021;351730;14;996049989;;SCNES
3502400000000;1;CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO DA COVID-19;81;PAULO REMELLI;1045;PREDIO AUXILIAR;CENTRO;19580000;350240;18;32861373;;ANHUMAS
5004310000000;1;UBS- ASSENTAMENTO COLORADO;56;ASSENTAMENTO COLORADO;S/N;ASSENTAMENTO RURAL;RURAL;79960000;500430;67;34711130;SMSIGUATEMI@GMAIL.COM;SAUDE
1302600000000;1;UNIDADE DE APOIO JULIAO;720;COMUNIDADE JULIAO, IGARAPE TARUMA-MIRIM.;S/N;RIO NEGRO;ZONA RURAL;69001009;130260;;;;ABARBARA
1302600000000;2;UNIDADE DE APOIO AGROVILA;720;COMUNIDADE AGROVILA, IGARAPE TARUMA-MIRIM;S/N;RIO NEGRO;ZONA RURAL;69001009;130260;;;;ABARBARA
1302600000000;3;UNIDADE DE APOIO DO COLONIA CENTRAL;720;RDS RIO NEGRO, LAGO DO TUPE, TRILHA DA ANDIROBEIRA;S/N;COM. COLONIA CENTRAL;RIO NEGRO;69001009;130260;;;;ABARBARA
1302600000000;4;UNIDADE DE APOIO DO TUPÉ;720;COMUNIDADE DO TUPE;S/N;RIO NEGRO;ZONA RURAL;69001009;130260;;;;ABARBARA
1502400000000;1;POSTO DE COLETA DE LEITE HUMANO DA ABEM;81;SENADOR ANTONIO LEMOS;553;SALA ABEM;CENTRO;68743015;150240;;;;FCESS
1302100000000;4;ESCOLA MUNICIPAL INDIGENA NOVA CANAÃ;713;NOVA CANAA;S/N;;ZONA RURAL;69495000;130210;;;semsa_japura@hotmail.com;CNES
2304400000000;1;HOSPITAL DE CAMPANHA - COVID  19 - HGF;561;AVILA GOULART;900;;PAPICU;60150160;230440;85;31013164;;CEARA
4112300000000;1;CENTRO MUNICIPAL DE FISIOTERAPIA;81;FRANCISCO DE OLIVEIRA;SN;;BELA VISTA;84920000;411230;43;991019591;;JAPIRA
3550310000000;1;CONSULTORIO;561;ARLINDO COLACO;328;ANDAR 3 CONJ 33;SAO MIGUEL PAULISTA;8010010;355030;11;20313154;;CADASTRO
1709000000000;1;RUA 07 SETEMBRO;561;SETEMBRO;SN;;CENTRO;77770000;170900;;;;FCESS
4103360000000;1;POSTO DE SAUDE LONGUINOPOLIS;8;BRASIL;SN;;LONGUINOPOLIS;85430000;410335;45;32455010;smsbraganey@hotmail.com;SAUDE
5105100000000;1;POSTO DE SAUDE JAPURANA;31;KM 180;0;GLEBA JAPURANA;ZONA RURAL;78575000;510510;66;44007270;;SCNES
4215800000000;1;ENDERECO COMPLEMENTAR 1;561;WOLFGANG AMMON;34;;CENTRO;89290000;421580;;;;421580
4216600000000;1;ENDERECO COMPLEMENTAR 1;561;SAO PEDRO;1770;;AREIAS;88113250;421660;48;32413965;BIOCLINICO@GLOBO.COM;KEISIANE
4216600000000;2;ENDERECO COMPLEMENTAR 2;561;NOSSA SENHORA DOS NAVEGANTES;1;;JARDIM ZANELATO;88115400;421660;48;32576056;BIOCLINICO@GLOBO.COM;KEISIANE
3556510000000;1;ENDERECO COMPLEMENTAR 1;657;FERNAO DIAS PAES LEME;1670;;CENTRO;13220005;355650;;;;FCESS
3536500000000;2;ENDERECO COMPLEMENTAR 2;81;MALAVAZZI;77;;JD VISTA ALEGRE;13140080;353650;;;;GESTOR
3536510000000;1;ENDERECO COMPLEMENTAR 1;81;MALAVAZZI;65;;JD VISTA ALEGRE;13140000;353650;19;38742213;;GESTOR
4208910000000;1;ENDERECO COMPLEMENTAR 1;561;MARECHAL DEODORO DA FONSECA;1412;;CENTRO;89251702;420890;47;21062200;;SCNES
3551010000000;1;ENDERECO COMPLEMENTAR 1;81;FREI GASPAR;365;PISO 5;CENTRO;11310935;355100;13;32080800;ANGIOCORPORE@ANGIOCORPORE.COM.BR;ELAINE
1400480000000;1;ENDERECO COMPLEMENTAR 1;655;DOUTOTA YANDARA;370;;CENTRO;69373000;140047;95;32382440;;SEMSA
3557100000000;1;ENDERECO COMPLEMENTAR 1;81;PARAIBA;3450;;PATRIMONIO VELHO;15505166;355710;;;;CNES22
3149910000000;1;ENDERECO COMPLEMENTAR 1;65;1º DE JUNHO;6;;CENTRO;37260000;314990;35;38641773;vilelamireli@yahoo.com.br;GESTOR
3149910000000;2;ENDERECO COMPLEMENTAR 2;8;GETULIO VARGAS;14;;CENTRO;37260000;314990;35;99574382;;GESTOR
3149910000000;3;ENDERECO COMPLEMENTAR 3;81;EDUARDO GOMES;46;;VILA NOVA;37260000;314990;35;99200816;;GESTOR
3105110000000;1;VIGILANCIA SANITARIA;8;JOAO PAULINELLI DE CARVALHO;606;;CENTRO;38900000;310510;37;34310865;;VALDA
1501300000000;1;ESCOLA MUNICIPAL DE ENSINO INFANTIL CANTINHO DO SABER;50;RIO ARAPARI;SN;;ILHAS;68445000;150130;;;;SEMUSB
2913000000000;1;CENTRO DE ABASTECIMENTO FARMACEUTICO - CAF;561;BELA VISTA;SN;CASA;CENTRO;46700000;291300;77;36472155;ibitiarasec@hotmail.com;SUSCAD
